Product,Price
Vietnamese Cold Coffee,₹189
Spanish Coffee,₹169
Americano,₹129
Hazelnut Cold Coffee,₹169
Classic Cold Coffee,₹159
Iced Americano,₹129
Hazelnut Cappuccino,₹159
Cappuccino,₹149
Latte,₹139
Hot Chocolate,₹135
Lifelong Llm270 Head and Body Massager - Full Body Pain Relief |  Deep Tissue Massager,₹898
Portronics Konnect B+ POR 1392 8 Pin USB Cable - Black | Nylon Braided,₹189
Portronics Konnect A Trio 3-In-1 USB Cable - Black | Braided and High-Speed | Fast Charging,₹279
Portronics Konnect B Micro USB Cable - Black | Braided &  Tangle-Free | Fast Charging,₹99
Goldmedal Logica-4X1 High Grade Surge Protector Spike Guard-2M cable - Assorted,₹299
"Lifelong Llm09 Mini Head And Body Massager, Beige And Brown",₹398
Nu Republic Usb Type C Cable 1 M Blaze Supersonic 65W Type-C To Type-C Fast Charge Cable,₹238
Goldmedal G:Dial extension cord -5 Meters Cable,₹228
Goldmedal Krysta extension cord -5 Meters cable,₹328
"AGARO Atom Electric Handheld Full Body Massager with 3 Massage Heads, Mesh Cover",₹969
Portronics Konnect A Trio 3-In-1 USB Cable - Black | Braided and High-Speed | Fast Charging,₹279
Portronics Konnect B Micro USB Cable - Black | Braided &  Tangle-Free | Fast Charging,₹99
Portronics Konnect B+ POR 1392 8 Pin USB Cable - Black | Nylon Braided,₹189
Nu Republic Usb Type C Cable 1 M Blaze Supersonic 65W Type-C To Type-C Fast Charge Cable,₹238
boAt 10000mAh Power Bank w/ 22.5W Fast Charging & Smart IC Protection - PB300 (Carbon Black),₹1199
Nu Republic Blaze Trinity 2.0 3 In One Usb A To Type C Microusb Type L 1 M (Black),₹198
Portronics Adapto One 3.0 A Single Port Wall Adapter With Quick Charge | Connector Type - USB,₹328
Duracell Du Type-C To Lightning Quick Sync & Charge Cable - Black | Braided,₹998
Stuffcool Mega 30W 10000mAH Super Compact Powerbank,₹1698
Portronics Konnect CL POR 1067 Type-C To 8 Pin USB Cable - Green | 1.2 m | Fast Charging,₹329
Chole Kulche ,₹179
Dal Makhani,₹129
Wheat Chapati - Pack of 3,₹45
Paneer Tikka Masala,₹169
Rajma Masala        ,₹129
Butter Chicken ,₹189
Chole  ,₹129
Paneer Makhani,₹159
Tawa Plain Paratha - Pack of 2,₹55
Aloo Pyaz Kulcha,₹135
GUBB Multifunctional Organizer Makeup Travel Bag - Pink,₹597
Trajectory Travel Polyester Passport and Card Holder and Wallet Organiser Case,₹649
"AGARO 1200 Watts Professional Volumizer Hair Dryer,One Step Styler, Hot Air Blow Brush for Women",₹1999
Bombay Shaving Company Power Styler OG Beard Trimmer For Men | 2X Fast Charging | USB Type C,₹846
"AGARO 2000 Watts Professional Hair Dryer with AC Motor, Concentrator, Diffuser,Comb,Hot and Cold Air",₹1549
Ambrane 20W Dual Output Fast Charger/Adapter With Qc & Pd Technology For Iphone Android & Other Devices Multi-Layers Protection (Raap H11White),₹399
Portronics 20W Type C Charger With Fast Charging,₹399
boAt 10000mAh Power Bank w/ 22.5W Fast Charging & Smart IC Protection - PB300 (Carbon Black),₹1199
"Lifelong Llpcm300 Rechargeable Nose And Ear Trimmer; 40 Minutes Runtime And Washable; For Men, Woman",₹499
Bronson Professional Ice Facial Roller For Face Eye Neck And Body,₹263
